facility_id,facility_type,governorate,sku_id,manufacturer,unit_price_egp,flu_index,allergy_index,promotion_flag,public_holiday_flag,day,month,season,actual_demand_units
FAC020,Retail Pharmacy,Assiut,SKU014,CID,21.76,74.8,30.3,0,0,2,1,Winter,21.0
FAC020,Retail Pharmacy,Assiut,SKU044,SIGMA,39.37,74.8,30.3,0,0,2,1,Winter,24.0
FAC020,Retail Pharmacy,Assiut,SKU065,Sanofi Egypt,32.19,74.8,30.3,1,0,2,1,Winter,8.0
FAC047,Hospital Pharmacy,Assiut,SKU045,MUP,29.03,74.8,30.3,1,0,2,1,Winter,17.0
FAC047,Hospital Pharmacy,Assiut,SKU063,GSK Egypt,61.91,74.8,30.3,0,0,2,1,Winter,8.0
FAC051,Hospital Pharmacy,Aswan,SKU058,Pfizer Egypt,76.49,79.6,31.4,0,0,2,1,Winter,4.0
FAC018,Retail Pharmacy,Beni Suef,SKU027,AstraZeneca Egypt,105.63,67.3,30.1,0,0,2,1,Winter,7.0
FAC045,Hospital Pharmacy,Beni Suef,SKU078,Pharco,77.11,67.3,30.1,0,0,2,1,Winter,7.0
FAC055,Hospital Pharmacy,Cairo,SKU002,CID,17.99,69.5,35.4,0,0,2,1,Winter,18.0
FAC005,Retail Pharmacy,Dakahlia,SKU004,Novartis Egypt,48.09,72.0,20.6,0,0,2,1,Winter,15.0
FAC032,Retail Pharmacy,Dakahlia,SKU016,AstraZeneca Egypt,68.08,72.0,20.6,0,0,2,1,Winter,11.0
FAC059,Clinic Pharmacy,Dakahlia,SKU075,Novartis Egypt,51.81,72.0,20.6,0,0,2,1,Winter,8.0
FAC011,Retail Pharmacy,Damietta,SKU020,Merck Egypt,49.63,74.7,25.8,0,0,2,1,Winter,18.0
FAC011,Retail Pharmacy,Damietta,SKU037,GSK Egypt,63.88,74.7,25.8,0,0,2,1,Winter,14.0
FAC011,Retail Pharmacy,Damietta,SKU077,Janssen Egypt,66.01,74.7,25.8,0,0,2,1,Winter,7.0
FAC034,Retail Pharmacy,Gharbia,SKU017,Takeda Egypt,75.36,71.4,26.6,0,0,2,1,Winter,7.0
FAC061,Clinic Pharmacy,Gharbia,SKU006,GSK Egypt,51.57,71.4,26.6,0,0,2,1,Winter,6.0
FAC061,Clinic Pharmacy,Gharbia,SKU009,Pharco,75.83,71.4,26.6,0,0,2,1,Winter,5.0
FAC002,Retail Pharmacy,Giza,SKU005,GSK Egypt,63.14,65.2,27.1,0,0,2,1,Winter,13.0
FAC029,Retail Pharmacy,Giza,SKU006,GSK Egypt,52.76,65.2,27.1,0,0,2,1,Winter,7.0
FAC056,Hospital Pharmacy,Giza,SKU032,Sanofi Egypt,31.17,65.2,27.1,0,0,2,1,Winter,11.0
FAC040,Retail Pharmacy,Ismailia,SKU043,GSK Egypt,29.96,64.7,29.1,0,0,2,1,Winter,9.0
FAC010,Retail Pharmacy,Kafr El Sheikh,SKU041,Bayer Egypt,37.25,70.6,24.4,1,0,2,1,Winter,17.0
FAC037,Retail Pharmacy,Kafr El Sheikh,SKU075,Novartis Egypt,49.12,70.6,24.4,0,0,2,1,Winter,14.0
FAC064,Clinic Pharmacy,Kafr El Sheikh,SKU036,Sanofi Egypt,185.88,70.6,24.4,0,0,2,1,Winter,2.0
FAC023,Retail Pharmacy,Luxor,SKU036,Sanofi Egypt,194.82,75.5,21.7,0,0,2,1,Winter,4.0
FAC050,Hospital Pharmacy,Luxor,SKU077,Janssen Egypt,64.73,75.5,21.7,0,0,2,1,Winter,8.0
FAC053,Hospital Pharmacy,Matrouh,SKU042,UCB Egypt,55.81,68.5,24.9,0,0,2,1,Winter,14.0
FAC019,Retail Pharmacy,Minya,SKU007,GSK Egypt,120.21,84.5,24.9,0,0,2,1,Winter,6.0
FAC019,Retail Pharmacy,Minya,SKU032,Sanofi Egypt,32.47,84.5,24.9,0,0,2,1,Winter,10.0
FAC008,Retail Pharmacy,Monufia,SKU078,Pharco,77.79,70.1,30.7,0,0,2,1,Winter,7.0
FAC035,Retail Pharmacy,Monufia,SKU007,GSK Egypt,122.3,70.1,30.7,0,0,2,1,Winter,7.0
FAC035,Retail Pharmacy,Monufia,SKU020,Merck Egypt,50.49,70.1,30.7,1,0,2,1,Winter,22.0
FAC062,Clinic Pharmacy,Monufia,SKU019,Novartis Egypt,88.13,70.1,30.7,1,0,2,1,Winter,3.0
FAC015,Retail Pharmacy,North Sinai,SKU021,CID,43.46,65.8,27.3,0,0,2,1,Winter,9.0
FAC015,Retail Pharmacy,North Sinai,SKU052,Sanofi Egypt,63.71,65.8,27.3,1,0,2,1,Winter,4.0
FAC015,Retail Pharmacy,North Sinai,SKU059,EIPICO,22.62,65.8,27.3,0,0,2,1,Winter,5.0
FAC042,Retail Pharmacy,North Sinai,SKU060,Pfizer Egypt,80.84,65.8,27.3,0,0,2,1,Winter,2.0
FAC042,Retail Pharmacy,North Sinai,SKU078,Pharco,76.33,65.8,27.3,0,0,2,1,Winter,7.0
FAC039,Retail Pharmacy,Port Said,SKU055,BMS Egypt,48.43,75.0,26.0,0,0,2,1,Winter,3.0
FAC058,Clinic Pharmacy,Qalyubia,SKU035,Sanofi Egypt,130.52,76.8,31.3,0,0,2,1,Winter,6.0
FAC022,Retail Pharmacy,Qena,SKU027,AstraZeneca Egypt,99.31,68.1,18.6,0,0,2,1,Winter,6.0
FAC022,Retail Pharmacy,Qena,SKU046,Memphis,40.17,68.1,18.6,0,0,2,1,Winter,6.0
